"protein_name","sample_ID","psm","study","material","material2","x_label"
"Epoxide hydrolase 1","2-ZH1673",10,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Glutathione peroxidase 3","2-ZH1673",10,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Plasma protease C1 inhibitor","2-ZH1673",10,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Cathepsin G","2-ZH1673",10,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Coagulation factor X","3-ZH1676",10,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Complement component C9","3-ZH1676",10,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Fatty acid-binding protein 5","1-ZH1657",9,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Filamin-A","1-ZH1657",9,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Asporin","1-ZH1658",9,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"CD9 antigen","1-ZH1658",9,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Vitamin K-dependent protein Z","1-ZH1658",9,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Alpha-1-acid glycoprotein 1","1-ZH1659",9,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Immunoglobulin lambda constant 2","1-ZH1670",9,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Lumican","1-ZH1670",9,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Neutrophil elastase","1-ZH1670",9,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Coagulation factor VII","2-ZH1672",9,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Antithrombin-III","2-ZH1673",9,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Beta-glucuronidase","2-ZH1673",9,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Membrane primary amine oxidase","2-ZH1673",9,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Serine protease HTRA1","3-ZH1676",9,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Unconventional myosin-Ib","3-ZH1676",9,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"HLA class II histocompatibility antigen, DRB1 beta chain","1-ZH1657",8,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Decorin","1-ZH1658",8,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Osteomodulin","1-ZH1658",8,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Unconventional myosin-Id","1-ZH1658",8,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Lumican","1-ZH1659",8,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Myosin-2","1-ZH1659",8,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Serum amyloid P-component","1-ZH1659",8,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Collagen alpha-1(VI) chain","1-ZH1670",8,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Immunoglobulin kappa constant","1-ZH1670",8,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Plasma protease C1 inhibitor","1-ZH1670",8,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Serine--pyruvate aminotransferase","1-ZH1670",8,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Decorin","2-ZH1672",8,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Serine protease HTRA1","2-ZH1672",8,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Alpha-2-macroglobulin","2-ZH1673",8,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-1(VIII) chain","2-ZH1673",8,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Decorin","2-ZH1673",8,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Laminin subunit alpha-5","2-ZH1673",8,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Myeloperoxidase","2-ZH1673",8,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Serum amyloid A-1 protein","2-ZH1673",8,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Basement membrane-specific heparan sulfate proteoglycan core protein","3-ZH1676",8,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"CD9 antigen","3-ZH1676",8,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Kininogen-1","3-ZH1676",8,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Periostin","3-ZH1676",8,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-2(IV) chain","1-ZH1657",7,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-3(VI) chain","1-ZH1657",7,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
